,food,amount,cals,protein,carbs,fat
333,riñon,0.0,1.0,0.174,0.0029,0.0309
334,garra piñada,0.0,4.857143,0.0,0.0,0.0
335,castaña caju,0.0,5.8125,0.1822,0.3019,0.4385
336,picaaña,0.0,1.5533333,0.0,0.0,0.0
337,papa sonrisas,0.0,1.7,1.0,1.0,1.0
338,pata muslo horno piel,0.0,2.4,0.2257,0.0,0.1625
339,tholen light,0.0,1.2727273,0.1,0.02,0.09
340,papa sonrisa,0.0,1.7,0.024,0.26,0.062
341,garoto,0.0,5.122807,0.0467,0.6,0.267
342,ajo aceite,0.0,4.73,0.02,0.12,0.5
343,cebolla aceite,0.0,1.2,0.0036,0.018,0.1
344,barne,0.0,1.0174645,0.0725,0.15,0.0375
345,harina pizza pureza,0.0,3.6,0.116,0.74,0.02
346,salsa tomate pizza,0.0,0.4,0.011666667,0.071666665,0.0
347,masa pizza,0.0,2.288087,0.06705202,0.433526,0.03468208
348,cremon azul,0.0,2.89,0.18,0.0,0.24
349,pizza napo,0.0,2.4971788,0.102668956,0.2634937,0.116838485
350,coco rallado,0.0,7.0,0.06666667,0.23333333,0.64166665
351,atun aceite ciudad lago,0.0,1.1666666,0.26666668,0.0,0.025
352,ketchup hellmans,0.0,1.3333334,0.0,0.31666666,0.0
353,caballa natural mellino,0.0,1.8833333,0.2,0.0,0.12166667
354,queso port salut,0.0,2.19,0.27,0.005,0.12
355,merluza milanesa,0.0,1.7103896,0.113696106,0.20746753,0.03785714
356,pechuga pollo horno,0.0,1.64,0.3076,0.0354,0.0354
357,ricota verde,0.0,1.06,0.12,0.06,0.04
358,pizza cantimpalo,0.0,2.8044007,0.09975847,0.1802722,0.1812742
359,pizza light,0.0,1.7423698,0.09904523,0.15283577,0.08201759
360,brownie,0.0,4.25,0.0625,0.6,0.18
361,budin vainilla,0.0,2.9166667,0.06,0.51666665,0.07
362,parmesano,0.0,4.31,0.38,0.041,0.29
363,fideo codito,0.0,1.55,0.0576,0.3068,0.0092
364,medallon pescado,0.0,1.38,0.168,0.044,0.059
365,leche polvo,0.0,4.8846154,0.26153848,0.38076922,0.26153848
366,cerveza,0.0,0.43,0.005,0.036,0.0
367,budin chocolate,0.0,2.95,0.06666667,0.48333332,0.083333336
368,budin naranja,0.0,2.8833334,0.055,0.5333,0.05666667
369,budin coco,0.0,2.85,0.06,0.51666665,0.06
370,budin coco rallado,0.0,3.059596,0.0603367,0.5023569,0.089377105
371,avena morixe,0.0,3.3333333,0.13,0.53333336,0.08
372,empanada carne,0.0,2.0875,0.075,0.275,0.1
373,empanada jq,0.0,2.5375,0.1,0.275,0.125
374,pizza muzza,0.0,2.1964285,0.098214,0.2857,0.07142857
375,pizza fuggazeta,0.0,2.14,0.0665,0.352,0.0496
376,faina,0.0,1.76,0.0719,0.2721,0.0415
377,hamburguesa queso BK,0.0,3.5631,0.1553398,0.320388,0.174757
378,aro cebolla BK,0.0,2.88148,0.037037,0.348148,0.148148
379,pesi,0.0,0.285,0.0,0.075,0.0
380,aceituna,0.0,1.17,0.0092,0.054,0.1127
381,mango,0.0,0.6,0.008,0.15,0.004
382,calamar,0.0,0.804,0.1625,0.007,0.014
383,tomate lata,0.0,0.17692308,0.0069230767,0.034615386,0.0
384,fideo codito crudo,0.0,3.275,0.10875,0.6875,0.01
385,arveja lata,0.0,1.17,0.062,0.22,0.005
386,fideo codito tomate morron,0.0,0.36781293,0.012827741,0.0700127,0.0041193096
387,vinagre,0.0,0.18,0.0,0.0004,0.0
388,oregano,0.0,3.06,0.11,0.6443,0.1025
389,aji molido,0.0,3.32,0.168,0.7271,0.0076
390,chimichurri,0.0,3.2068336,0.07107798,0.34298852,0.21711582
391,curcuma,0.0,3.54,0.0783,0.6493,0.0988
392,arroz crudo blanco,0.0,3.32,0.07,0.76,0.0
393,arroz curcuma verduras,0.0,0.85539633,0.022119647,0.18685758,0.0014917598
394,lays,0.0,5.2,0.06,0.48,0.34
395,doritos,0.0,5.14,0.078,0.51,0.31
396,oreo,0.0,4.866667,0.05666667,0.6666667,0.22333333
397,durazno lata,0.0,0.5928571,0.03142857,0.13571429,0.0
398,espinaca lata,0.0,0.26923078,0.02923077,0.03769231,0.0
399,choclo lata,0.0,0.77692306,0.032307692,0.10769231,0.0046153846
400,durazno lata coto,0.0,0.70714283,0.007142857,0.16428572,0.0
401,don satur dulce,0.0,5.3333335,0.1,0.7,0.26666668
402,pizza cancha,0.0,1.55,0.036,0.2912,0.01125
